"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 25 18:26:46 BDT 2022","Tue Jan 25 18:27:04 BDT 2022","18461","E-commerce portal automation","E-commerce portal Product Purchase","TestRunners.ProductPurchaseTestRunner","TestRunners.ProductPurchaseTestRunner","addToCart","Add product in cart",""
"passed","Tue Jan 25 18:25:28 BDT 2022","Tue Jan 25 18:26:46 BDT 2022","77861","E-commerce portal automation","E-commerce portal Product Purchase","TestRunners.ProductPurchaseTestRunner","TestRunners.ProductPurchaseTestRunner","selectMyProduct","Select a Product",""
